iso_num,country,group
512,Oman,"Group 3: Secondary missing, need proxy"
524,Nepal,"Group 3: Secondary missing, need proxy"
554,New Zealand,"Group 3: Secondary missing, need proxy"
558,Nicaragua,"Group 3: Secondary missing, need proxy"
578,Norway,"Group 3: Secondary missing, need proxy"
586,Pakistan,"Group 3: Secondary missing, need proxy"
591,Panama,"Group 3: Secondary missing, need proxy"
600,Paraguay,"Group 3: Secondary missing, need proxy"
604,Peru,"Group 3: Secondary missing, need proxy"
608,Philippines,"Group 3: Secondary missing, need proxy"
616,Poland,"Group 3: Secondary missing, need proxy"
620,Portugal,"Group 3: Secondary missing, need proxy"
642,Romania,"Group 3: Secondary missing, need proxy"
643,Russia,"Group 3: Secondary missing, need proxy"
682,Saudi Arabia,"Group 3: Secondary missing, need proxy"
688,Serbia,"Group 3: Secondary missing, need proxy"
704,Vietnam,"Group 3: Secondary missing, need proxy"
716,Zimbabwe,"Group 3: Secondary missing, need proxy"
724,Spain,"Group 3: Secondary missing, need proxy"
756,Switzerland,"Group 3: Secondary missing, need proxy"
760,Syria,"Group 3: Secondary missing, need proxy"
764,Thailand,"Group 3: Secondary missing, need proxy"
792,Turkey,"Group 3: Secondary missing, need proxy"
810,Soviet Union,"Group 3: Secondary missing, need proxy"
818,Egypt,"Group 3: Secondary missing, need proxy"
858,Uruguay,"Group 3: Secondary missing, need proxy"
862,Venezuela,"Group 3: Secondary missing, need proxy"
887,Yemen,"Group 3: Secondary missing, need proxy"
891,Yugoslavia,"Group 3: Secondary missing, need proxy"
20,Andorra,"Group 4: Not in backbone, proxy-only"
660,Anguilla,"Group 4: Not in backbone, proxy-only"
28,Antigua and Barbuda,"Group 4: Not in backbone, proxy-only"
533,Aruba,"Group 4: Not in backbone, proxy-only"
44,Bahamas,"Group 4: Not in backbone, proxy-only"
84,Belize,"Group 4: Not in backbone, proxy-only"
60,Bermuda,"Group 4: Not in backbone, proxy-only"
64,Bhutan,"Group 4: Not in backbone, proxy-only"
92,British Virgin Islands,"Group 4: Not in backbone, proxy-only"
96,Brunei,"Group 4: Not in backbone, proxy-only"
136,Cayman Islands,"Group 4: Not in backbone, proxy-only"
184,Cook Islands,"Group 4: Not in backbone, proxy-only"
531,Curacao,"Group 4: Not in backbone, proxy-only"
232,Eritrea,"Group 4: Not in backbone, proxy-only"
242,Fiji,"Group 4: Not in backbone, proxy-only"
278,"Germany, East","Group 4: Not in backbone, proxy-only"
292,Gibraltar,"Group 4: Not in backbone, proxy-only"
308,Grenada,"Group 4: Not in backbone, proxy-only"
316,Guam,"Group 4: Not in backbone, proxy-only"
328,Guyana,"Group 4: Not in backbone, proxy-only"
296,Kiribati,"Group 4: Not in backbone, proxy-only"
689,Kosovo,"Group 4: Not in backbone, proxy-only"
438,Liechtenstein,"Group 4: Not in backbone, proxy-only"
446,Macau,"Group 4: Not in backbone, proxy-only"
462,Maldives,"Group 4: Not in backbone, proxy-only"
584,Marshall Islands,"Group 4: Not in backbone, proxy-only"
583,Micronesia,"Group 4: Not in backbone, proxy-only"
492,Monaco,"Group 4: Not in backbone, proxy-only"
520,Nauru,"Group 4: Not in backbone, proxy-only"
580,Northern Mariana Islands,"Group 4: Not in backbone, proxy-only"
585,Palau,"Group 4: Not in backbone, proxy-only"
598,Papua New Guinea,"Group 4: Not in backbone, proxy-only"
882,Samoa,"Group 4: Not in backbone, proxy-only"
674,San Marino,"Group 4: Not in backbone, proxy-only"
534,Sint Maarten (Dutch part),"Group 4: Not in backbone, proxy-only"
90,Solomon Islands,"Group 4: Not in backbone, proxy-only"
706,Somalia,"Group 4: Not in backbone, proxy-only"
728,South Sudan,"Group 4: Not in backbone, proxy-only"
659,St. Kitts and Nevis,"Group 4: Not in backbone, proxy-only"
670,St. Vincent and the Grenadines,"Group 4: Not in backbone, proxy-only"
740,Suriname,"Group 4: Not in backbone, proxy-only"
626,Timor-Leste,"Group 4: Not in backbone, proxy-only"
776,Tonga,"Group 4: Not in backbone, proxy-only"
796,Turks and Caicos,"Group 4: Not in backbone, proxy-only"
798,Tuvalu,"Group 4: Not in backbone, proxy-only"
548,Vanuatu,"Group 4: Not in backbone, proxy-only"
850,Virgin Islands (U.S.),"Group 4: Not in backbone, proxy-only"
